#OTU	ID	taxonomy
221	1.0	NA;NA;NA;NA;NA;NA
222	1.0	NA;NA;NA;NA;NA;NA
223	1.0	Pseudomonadota;Gammaproteobacteria;Moraxellales;Moraxellaceae;Acinetobacter;boissieri
224	1.0	Pseudomonadota;Gammaproteobacteria;Moraxellales;Moraxellaceae;Acinetobacter;bouvetii
225	1.0	NA;NA;NA;NA;NA;NA
226	1.0	NA;NA;NA;NA;NA;NA
227	1.0	Pseudomonadota;Gammaproteobacteria;Moraxellales;Moraxellaceae;Acinetobacter;celticus
228	1.0	Pseudomonadota;Gammaproteobacteria;Moraxellales;Moraxellaceae;Acinetobacter;chengduensis
229	1.0	NA;NA;NA;NA;NA;NA
230	1.0	Pseudomonadota;Gammaproteobacteria;Moraxellales;Moraxellaceae;Acinetobacter;colistiniresistens
231	1.0	Pseudomonadota;Gammaproteobacteria;Moraxellales;Moraxellaceae;Acinetobacter;courvalinii
232	1.0	Pseudomonadota;Gammaproteobacteria;Moraxellales;Moraxellaceae;Acinetobacter;cumulans
233	1.0	Pseudomonadota;Gammaproteobacteria;Moraxellales;Moraxellaceae;Acinetobacter;defluvii
234	1.0	NA;NA;NA;NA;NA;NA
235	1.0	NA;NA;NA;NA;NA;NA
236	1.0	Pseudomonadota;Gammaproteobacteria;Moraxellales;Moraxellaceae;Acinetobacter;equi
237	1.0	Pseudomonadota;Gammaproteobacteria;Moraxellales;Moraxellaceae;Acinetobacter;faecalis
238	1.0	Pseudomonadota;Gammaproteobacteria;Moraxellales;Moraxellaceae;Acinetobacter;gandensis
239	1.0	Pseudomonadota;Gammaproteobacteria;Moraxellales;Moraxellaceae;Acinetobacter;geminorum
240	1.0	Pseudomonadota;Gammaproteobacteria;Moraxellales;Moraxellaceae;Acinetobacter;gerneri
241	1.0	NA;NA;NA;NA;NA;NA
242	1.0	Pseudomonadota;Gammaproteobacteria;Moraxellales;Moraxellaceae;Acinetobacter;guillouiae
243	1.0	Pseudomonadota;Gammaproteobacteria;Moraxellales;Moraxellaceae;Acinetobacter;gyllenbergii
244	1.0	NA;NA;NA;NA;NA;NA
245	1.0	Pseudomonadota;Gammaproteobacteria;Moraxellales;Moraxellaceae;Acinetobacter;halotolerans
246	1.0	Pseudomonadota;Gammaproteobacteria;Moraxellales;Moraxellaceae;Acinetobacter;harbinensis
247	1.0	Pseudomonadota;Gammaproteobacteria;Moraxellales;Moraxellaceae;Acinetobacter;higginsii
248	1.0	NA;NA;NA;NA;NA;NA
249	1.0	Pseudomonadota;Gammaproteobacteria;Moraxellales;Moraxellaceae;Acinetobacter;indicus
250	1.0	NA;NA;NA;NA;NA;NA
251	1.0	NA;NA;NA;NA;NA;NA
252	1.0	Pseudomonadota;Gammaproteobacteria;Moraxellales;Moraxellaceae;Acinetobacter;kanungonis
