"tip_label","tip_node","parent_node","child_node"
"2561511074",25,3834,3835
"2561511074",25,3833,3834
"2561511074",25,3832,3833
"2561511074",25,3831,3832
"2561511074",25,3830,3831
"2561511074",25,3829,3830
"2561511074",25,3828,3829
"2561511074",25,3827,3828
"2561511074",25,3826,3827
"2561511074",25,3825,3826
"2561511074",25,3824,3825
"2561511074",25,3823,3824
"2545824614",26,3879,26
"2545824614",26,3878,3879
"2545824614",26,3877,3878
"2545824614",26,3875,3877
"2545824614",26,3874,3875
"2545824614",26,3863,3874
"2545824614",26,3862,3863
"2545824614",26,3861,3862
"2545824614",26,3852,3861
"2545824614",26,3851,3852
"2545824614",26,3850,3851
"2545824614",26,3849,3850
"2545824614",26,3848,3849
"2545824614",26,3847,3848
"2545824614",26,3846,3847
"2545824614",26,3845,3846
"2545824614",26,3844,3845
"2545824614",26,3843,3844
"2545824614",26,3842,3843
"2545824614",26,3841,3842
"2545824614",26,3840,3841
"2545824614",26,3839,3840
"2545824614",26,3838,3839
"2545824614",26,3837,3838
"2545824614",26,3836,3837
"2545824614",26,3835,3836
"2545824614",26,3834,3835
"2545824614",26,3833,3834
"2545824614",26,3832,3833
"2545824614",26,3831,3832
"2545824614",26,3830,3831
"2545824614",26,3829,3830
"2545824614",26,3828,3829
"2545824614",26,3827,3828
"2545824614",26,3826,3827
"2545824614",26,3825,3826
"2545824614",26,3824,3825
"2545824614",26,3823,3824
"2574179742",27,3881,27
"2574179742",27,3880,3881
"2574179742",27,3878,3880
"2574179742",27,3877,3878
"2574179742",27,3875,3877
"2574179742",27,3874,3875
"2574179742",27,3863,3874
"2574179742",27,3862,3863
"2574179742",27,3861,3862
"2574179742",27,3852,3861
"2574179742",27,3851,3852
"2574179742",27,3850,3851
"2574179742",27,3849,3850
"2574179742",27,3848,3849
"2574179742",27,3847,3848
"2574179742",27,3846,3847
"2574179742",27,3845,3846
"2574179742",27,3844,3845
"2574179742",27,3843,3844
"2574179742",27,3842,3843
"2574179742",27,3841,3842
"2574179742",27,3840,3841
"2574179742",27,3839,3840
"2574179742",27,3838,3839
"2574179742",27,3837,3838
"2574179742",27,3836,3837
